,Unnamed: 0,Topics,Questions
0,0,A statement that the study involves research,"Which of the following statements best describes the nature of the activity described in the informed consent form?
A) A routine medical treatment with no experimental procedures.
B) A clinical study investigating the effects of intermittent nasogastric tube feeding on swallowing disorders after stroke.
C) A personal interview for patient feedback on hospital services.
D) A survey on general healthcare practices in the community.

Correct answer: B"
1,1,An explanation of the purposes of the research,"What is the primary objective of the clinical study led by Director Zeng Xi at the First Affiliated Hospital of Zhengzhou University?
A) To assess the impact of physical exercise on cognitive function post-stroke;
B) To investigate the clinical effects of intermittent nasogastric tube feeding on swallowing disorders in stroke patients;
C) To evaluate the effectiveness of aspirin in preventing secondary strokes;
D) To determine the benefits of a new blood pressure medication for stroke survivors.

Correct answer: B"
2,2,The expected duration of the subject's participation,"How long is the expected duration of participation for each subject in the clinical study of the Stellate Ganglion Block treatment for Post-Stroke Pharyngeal Dysphagia?
A) 10 days; B) 15 days; C) 30 days; D) 45 days
Correct answer: B) 15 days"
3,3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding any additional costs to the subject that may result from participation in the research according to the new consent form?

A) Participants will have to pay for any research-related injuries out of their own pocket.
B) Participants will be charged for the use of the therapy after the study concludes, at market prices.
C) Participants will be responsible for the costs of routine rehabilitation and swallowing function training.
D) Participants will receive free treatment and/or appropriate compensation for any research-related injury.

Correct answer: D"
4,4,A description of the procedures to be followed,"Which of the following statements accurately describes the procedures that participants in the Stellate Ganglion Block study will undergo?

A) Participants will only receive routine rehabilitation without any additional interventions.
B) Participants will be given a stellate ganglion block (SGB) once a week for a total of 10 weeks.
C) Participants will be provided with comprehensive rehabilitation and swallowing function training, with the observation group receiving additional SGB treatment once a day for 10 sessions.
D) Participants will undergo a surgical procedure as part of the treatment for post-stroke pharyngeal dysphagia.

Correct answer: C) Participants will be provided with comprehensive rehabilitation and swallowing function training, with the observation group receiving additional SGB treatment once a day for 10 sessions."
5,5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the study after participating?
A) Your medical treatment and rights will be negatively impacted; B) You will be required to pay for any treatments received during the study; C) You will not be able to receive any medical care from the First Affiliated Hospital of Zhengzhou University; D) Your medical treatment and rights will not be affected, and any data collected after your withdrawal will not be included in the research results.

Correct answer: D"
6,6,Identification of any procedures which are experimental,"Which of the following procedures is considered experimental in the context of this study for treating post-stroke pharyngeal dysphagia?
A) Routine rehabilitation including intervention for risk factors and pharmacological treatment;
B) Swallowing function training exercises for the vocal folds, pharyngeal, and laryngeal muscles;
C) Stellate Ganglion Block (SGB) with Lidocaine and Vitamin B12 injections;
D) Isotonic/isometric swallowing exercises and the Mendelsohn maneuver.

Correct answer: C"
7,7,The approximate number of subjects involved in the study,"How many participants will be enrolled in the clinical study at the First Affiliated Hospital of Zhengzhou University?
A) 50; B) 100; C) 150; D) The number of participants is not specified in the consent form.
Correct answer: D"
8,8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk associated with participating in the Stellate Ganglion Block study for Post-Stroke Pharyngeal Dysphagia?
A) Permanent loss of voice; B) Severe allergic reaction to the medication; C) Transient pain or local bruising at the injection site; D) Long-term memory impairment

Correct answer: C"
9,9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit of participating in the Stellate Ganglion Block study for Post-Stroke Pharyngeal Dysphagia?
A) Guaranteed cure for dysphagia
B) Assessment of disease prognosis and treatment recommendations
C) Financial compensation for all participants
D) Immediate improvement in swallowing function after the first session

Correct answer: B) Assessment of disease prognosis and treatment recommendations"
10,10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What alternative treatments are available for participants who choose not to partake in the Stellate Ganglion Block study for post-stroke pharyngeal dysphagia?
A) Participants can opt for traditional physical therapy methods only; B) Participants can choose to receive only routine rehabilitation and swallowing function training; C) Participants can receive acupuncture therapy instead; D) No alternatives are mentioned in the consent form.
Correct answer: B"
11,11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Who is responsible for maintaining the confidentiality of your personal information if you participate in the study?
A) The research team and sponsors;
B) The public media;
C) All hospital staff members;
D) Only the principal investigator.

Correct answer: A) The research team and sponsors;"
12,12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","If you experience an injury related to the research, what kind of support are you entitled to receive according to the new consent form?

A) You will receive a formal apology but no financial compensation or free treatment.
B) You will receive free treatment and/or appropriate compensation for any research-related injury.
C) You will be responsible for all medical costs associated with any research-related injury.
D) You will receive compensation only if the injury leads to long-term disability.

Correct answer: B) You will receive free treatment and/or appropriate compensation for any research-related injury."
13,13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience any research-related injury during the study, whom should you contact for treatment and possible compensation?
A) The Ethics Committee of the First Affiliated Hospital of Zhengzhou University; B) The Rehabilitation Department of the First Affiliated Hospital of Zhengzhou University; C) The research doctor; D) Your personal physician
Correct answer: B"
14,14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What does the consent form say about your right to withdraw from the study?
A) You may withdraw at any time, but it may affect your medical treatment.
B) You may withdraw at any time, and it will not affect your medical treatment or rights.
C) You cannot withdraw once you have agreed to participate in the study.
D) Withdrawing from the study will result in a penalty or loss of benefits you are otherwise entitled to.

Correct answer: B) You may withdraw at any time, and it will not affect your medical treatment or rights."
