,NCT Number
0,NCT05023772
1,NCT04724291
2,NCT04765072
3,NCT06064812
4,NCT05094544
5,NCT05437692
6,NCT05093192
7,NCT04827992
8,NCT04925544
9,NCT04779489
10,NCT04586127
11,NCT04372927
12,NCT05354882
13,NCT04789720
14,NCT06240689
15,NCT06112392
16,NCT05956639
17,NCT06207435
18,NCT04808466
19,NCT04986566
20,NCT04430335
21,NCT05112458
22,NCT04607135
23,NCT05504148
24,NCT04905082
25,NCT06002022
26,NCT04750473
27,NCT05086731
28,NCT05130060
29,NCT04542291
30,NCT05156060
31,NCT05693766
32,NCT04211766
33,NCT05065866
34,NCT04660331
35,NCT05891431
36,NCT05135520
37,NCT04784182
38,NCT05473026
39,NCT04942665
40,NCT05604365
41,NCT05257876
42,NCT04650282
43,NCT05326282
44,NCT05442957
45,NCT05955157
46,NCT04951492
47,NCT03775213
48,NCT05862844
49,NCT05123118
50,NCT04927013
51,NCT04844736
52,NCT05427513
53,NCT04893018
54,NCT04840615
55,NCT04763915
56,NCT04741802
57,NCT03986502
58,NCT06136702
59,NCT04981223
60,NCT06258408
61,NCT04947150
62,NCT04978350
63,NCT04667481
64,NCT06243510
65,NCT05559450
66,NCT06335550
67,NCT04825912
68,NCT05087095
69,NCT04712214
70,NCT04585269
71,NCT04949646
72,NCT05685004
73,NCT06062810
74,NCT03459729
75,NCT04037462
76,NCT04442581
77,NCT05455268
78,NCT05556772
79,NCT05983380
80,NCT06278701
81,NCT05032846
82,NCT04827446
83,NCT06224855
84,NCT04815694
85,NCT06189560
86,NCT04727827
87,NCT04471194
88,NCT05590273
89,NCT04608773
90,NCT05886673
