,Topics,Questions
0,A statement that the study involves research,"Which of the following statements is true regarding the nature of the activity described in the consent form?
A) The activity is a routine medical treatment not involving research.
B) The activity is a commercial survey to improve marketing strategies.
C) The activity is a research study involving the collection of health information.
D) The activity is a recreational program for new parents.

Correct answer: C) The activity is a research study involving the collection of health information."
1,An explanation of the purposes of the research,"What is the primary objective of the BMT CTN 1902 research study for which the pregnancy partner is providing consent?
A) To evaluate the safety of prenatal vitamins in pregnant partners of multiple myeloma patients; B) To assess the effectiveness of a new dietary program for pregnant partners; C) To determine the safety and efficacy of CAR T-cell therapy and maintenance therapy with lenalidomide in multiple myeloma patients; D) To study the impact of regular exercise on pregnancy outcomes in partners of cancer patients.

Correct answer: C) To determine the safety and efficacy of CAR T-cell therapy and maintenance therapy with lenalidomide in multiple myeloma patients."
2,The expected duration of the subject's participation,"For how long will the study collect information from the participant's infant?
A) Until the infant is 6 months old
B) Until the infant is 1 year old
C) Until the infant is 2 years old
D) Until the infant is 18 years old

Correct answer: B) Until the infant is 1 year old"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding any additional costs to the subject for participating in the research study described in the consent form?
A) Participants will receive a stipend to cover pregnancy-related costs.
B) The research study will cover all costs related to the pregnancy, delivery, and newborn care.
C) Participants will not incur any additional costs because all treatments are provided free of charge.
D) Participants will not receive any payment for providing information, and the research will not cover any costs related to pregnancy, delivery, newborn care, abortion, or miscarriage.

Correct answer: D) Participants will not receive any payment for providing information, and the research will not cover any costs related to pregnancy, delivery, newborn care, abortion, or miscarriage."
4,A description of the procedures to be followed,"What will the study team collect information about from the participant if she agrees to provide her pregnancy and newborn information?
A) The participant's favorite foods and exercise habits.
B) The participant's age, sex, race/ethnicity, health, medications during pregnancy, previous pregnancies, current pregnancy, delivery, and baby's health.
C) The participant's financial records and employment history.
D) The biological father's complete medical history and genetic information.

Correct answer: B) The participant's age, sex, race/ethnicity, health, medications during pregnancy, previous pregnancies, current pregnancy, delivery, and baby's health."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to stop providing pregnancy or newborn information for the study?
A) Your medical care will be discontinued; B) The information already collected may still be used in the study; C) You will be required to pay a penalty; D) You will be obligated to continue participating in other unrelated studies

Correct answer: B"
6,Identification of any procedures which are experimental,"Which of the following procedures is considered experimental in the context of the BMT CTN 1902 study?
A) Standard chemotherapy for multiple myeloma
B) Autologous Hematopoietic Cell Transplantation without any additional therapy
C) Anti-B Cell Maturation Antigen Chimeric Antigen Receptor T Cell Therapy for Multiple Myeloma
D) Routine blood pressure and health monitoring during pregnancy

Correct answer: C"
7,The approximate number of subjects involved in the study,"How many participants are expected to be involved in the BMT CTN 1902 study for the collection of pregnancy and newborn information?
A) 50; B) 100; C) 150; D) The consent form does not specify the number of participants.

Correct answer: D"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"What is a potential risk associated with participating in the BMT CTN 1902 study as a pregnancy partner?
A) Exposure to experimental drugs; B) Loss of confidentiality; C) Financial costs for providing information; D) Health risks to the newborn from direct treatment

Correct answer: B) Loss of confidentiality"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"What are the potential benefits of participating in the BMT CTN 1902 study for the pregnant partner providing information about her pregnancy and newborn?

A) The pregnant partner will receive a new experimental drug as part of the study.
B) The pregnant partner will receive financial compensation for participating in the study.
C) The information may help in the care of future pregnancies where one parent has received CAR T-cell therapy or lenalidomide.
D) The pregnant partner will receive medical treatment for her and her newborn's health conditions as part of the study.

Correct answer: C) The information may help in the care of future pregnancies where one parent has received CAR T-cell therapy or lenalidomide."
